snp,ch,en,abbr
corre_coefft_snp,相关系数,correlation coefficient,
linear_correlation_snp,线性相关,linear correlation,
rank_correlation_snp,等级相关或秩相关,rank correlation,
covariance_snp,协方差,covariance,
quantile_snp,分位数,quantile,
quartile_snp,四分位数,quartile,
percentile_snp,百分位数,percentile,
range_snp,极差,range,
iqr_range_snp,四分卫距,interquartile range,
variance_snp,方差,variance,
variability_snp,变异性,variability,
kurtosis_snp,峰度,kurtosis,
skewness_snp,偏度,skewness,
posi_skew_snp,正偏/左偏,positive skewness,
nega_skew_snp,负偏/右偏,negative skewness,
mesokurtic_snp,常峰态,mesokurtic,
platykurtic_snp,低峰态,platykurtic,
leptokurtic_snp,尖峰态,leptokurtic,
heavy_tailed_snp,后尾,,
light_tailed_snp,薄尾,,
std_snp,标准差,standard deviation,
mad_snp,平均绝对离差,mean absolute deviation,
mad2_snp,绝对中位差,median absolute deviation,
kernel_smoothing_snp,核光滑,kernel-smoothing,
density_estimation_snp,密度估计,density estimation,
pdf_snp,概率密度函数,probability density function,
quantitative_variable_snp,定量变量,quantitative variable,
qualitative_variable_snp,定性变量,qualitative variable,
continuous_variable_snp,连续变量,continuous variable,
interval_var_snp,定距变量,interval variable,
ratio_var_snp,定比变量,ratio variable,
interval_scale_snp,定距尺度,interval scale,
ratio_scale_snp,定比尺度,ratio scale,
ratio_snp,定比,ratio,
categorical_variable_snp,分类变量,categorical variable,
nominal_var_snp,定类变量,nominal variable,
dichotomous_var_snp,二分变量,dichotomous variable,
ordinal_var_snp,定序变量,ordinal variable,
ordinal_scale_snp,定序尺度,ordinal scale,
data_wrangling_snp,数据整理,data wrangling,
univariate_snp,一元,univariate,
bivariate_snp,二元,bivariate,
multivariate_snp,多元,multivariate,
local_para_snp,定位参数,localization parameter,
ols_snp,普通最小二乘法,ordinary least squares,OLS
,,,
,图像处理术语,,
bit_depth_snp,色深,bit-depth,
,,,
,音频处理术语,,
sample_rate_snp,采样率,sample rate,
,,,
,数学术语,,
nmf_snp,非负矩阵因式分解,non-negative matrix factorization,NMF
,,,
,其他常用词汇替换,,
zyr_snp,译者注：,,
yzz_snp,译者注：,,
keyboard_tab_snp,制表符,tab,
csv_snp,逗号分隔值,Comma-Separated Values,CSV
ASCII_delimited_file_snp,ASCII 分隔的文件,ASCII-delimited file,
column_header_snp,列标题,,
uci_snp,加州大学尔湾分校机器学习数据集,UCI Machine Learning Repository,
